References,Family,,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
"См. также статью Рахилина, Е.В. Кондуктор, нажми на тормоза.. // Компьютерная лингвистика и интеллектуальные технологии: По материалам ежегодной Международной конференции «Диалог». Т. 1: Основная программа конференции. Вып. 12 (19). М.: РГГУ, 2013, 665-673.",A family of prohibitive constructions Attenuative,,1275,подождать-Imp VP-Ipfv.Inf,подождать-Imper VP-Imp.Inf,"Подождите закрывать магазин, ещё не все покупатели вышли.",B1,"Конструкция используется, когда говорящий побуждает временно приостановить [некоторое действие]Action, которое уже происходит в настоящий момент или вот-вот начнется. С точки зрения говорящего, это действие является преждевременным либо совсем не должно иметь место. Существуют [сведения]Situation, которые собеседник должен узнать и учесть, принимая решение продолжить это действие или вести себя иначе. Побуждение может быть обращено к собеседнику или к группе лиц, которая не включает говорящего.",,,"Обернувшись, я увидел, как он выглядывает из приоткрытой двери. ― Ты подожди [уходить]Action. [У меня к тебе дело]Situation.",".— Саша, ну подожди [сердиться]Action. [Наверное, Гришка решил завести себе рыбок]Situation.","– Подождите [благодарить нас]Action, – сказала супруга Антона Андреевича, – [мы ведь ни до чего не договорились и ничего вам не обещали]Situation.","― Беру, пока не прибежал ваш портной и не забрал это сокровище! ― Подождите [покупать]Action, ― официальным тоном сказала Ирина. ― [Вы еще не знаете о скидке в десять долларов]Situation.","В тишине было слышно, как кто-то пробует открыть калитку. ― Подождите [волноваться]Action. [Может, это просто воры?]Situation","Imp, VP, Ipfv, Inf",Clause,Verb pattern,,,Prohibition,Continuative prohibitive,Causation,Direct,,,,,"Action, Situation",Exclamatory,NA,"подожди, подождите","смеяться, радоваться, ликовать, грустить, расстраиваться, отчаиваться, обижаться, волноваться, уходить, прощаться, расходиться, уезжать, умирать, благодарить, покупать","Частотными заполнителями слота являются глаголы, обозначающие эмоциональные состояния (как положительные, так и отрицательные); глаголы «расставания»; глаголы, обозначающие благодарность.",,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,Continuative prohibitive,,,,,,,,,,,,,,,,,,
"См. также статью Рахилина, Е.В. Кондуктор, нажми на тормоза.. // Компьютерная лингвистика и интеллектуальные технологии: По материалам ежегодной Международной конференции «Диалог». Т. 1: Основная программа конференции. Вып. 12 (19). М.: РГГУ, 2013, 665-673.",A family of prohibitive constructions Attenuative,,1276,постоять-Imp VP-Ipfv.Inf,постоять-Imper VP-Imp.Inf,Постой вставать! Ещё один укол нужно сделать.,B1,"Конструкция используется, когда говорящий побуждает временно приостановить [некоторое действие]Action, которое уже происходит в настоящий момент или вот-вот начнется. С точки зрения говорящего, это действие является преждевременным либо совсем не должно иметь место. Существуют [сведения]Situation, которые собеседник должен узнать и учесть, принимая решение продолжить это действие или вести себя иначе. Побуждение может быть обращено к собеседнику или к группе лиц, которая не включает говорящего.",,,"― Ты постой [обижаться]Action, ― остановил гнев Прокофия старик.","― Постойте [радоваться-то]Action, ― строго заметила она, ― [надо еще сначала посмотреть, за кого замуж ей идти]Situation.","Председатель совсем расчувствовался: — Переходи в колхоз, Алевтина. Берем! — Нет, нет, постой [запрягать в свои сани]Action! Дай советской власти слово сказать.","В суде адвокат совсем уже было его оправдал ― нет улик, да и только, как вдруг тот слушал-слушал, да вдруг встал и перервал адвоката: «Нет, ты постой [говорить]Action», да все и рассказал… [Ф. М. Достоевский. Подросток (1875)]",,"Imp, VP, Ipfv, Inf",Clause,Verb pattern,,,Prohibition,Continuative prohibitive,Causation,Direct,,,,,"Action, Situation",Exclamatory,Obsolete,"постой, постойте","радоваться, обижаться","Частотными заполнителями слота являются глаголы, обозначающие эмоциональные состояния.",,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,Continuative prohibitive,,,,,,,,,,,,,,,,,,
"См. также статью Рахилина, Е.В. Кондуктор, нажми на тормоза.. // Компьютерная лингвистика и интеллектуальные технологии: По материалам ежегодной Международной конференции «Диалог». Т. 1: Основная программа конференции. Вып. 12 (19). М.: РГГУ, 2013, 665-673.",A family of prohibitive constructions Attenuative,,1277,погодить-Imp VP-Ipfv.Inf,погодить-Imper VP-Imp.Inf,Погоди убегать! Мы ещё не договорили.,B1,"Конструкция используется, когда говорящий побуждает временно приостановить [некоторое действие]Action, которое уже происходит в настоящий момент или вот-вот начнется. С точки зрения говорящего, это действие является преждевременным либо совсем не должно иметь место. Существуют [сведения]Situation, которые собеседник должен узнать и учесть, принимая решение продолжить это действие или вести себя иначе. Побуждение может быть обращено к собеседнику или к группе лиц, которая не включает говорящего.",,,"В полном ужасе Реутова бросилась в милицию, где ей сообщили, что раскрывают только десять процентов подобных дел. ― А остальные девяносто? ― напряглась Маруська. ― Вы погодите [расстраиваться]Action, ― вздохнул молоденький милиционер, ― [может, еще в те десять попадете]Situation.","― [Никто из нас не читал книги, о которой говорит Павел, и мы не знаем, что именно он о ней думает]Situation. Поэтому погоди [кипятитьсяAction и сначала выслушай одно и другое. Потом рассудишь, кто и в какой мере дурак.","«Хитрый дядька!» ― промелькнуло у меня в голове. ― Погодите [выдвигать версии]Action, [это еще не все]Situation, ― заявил Чекалин.","«Спокойно, ― говорил себе Мирон, ― погоди [паниковать]Action, [может быть, того, кто взял в больнице карту, уже поймали».]Situation","– Ладно, погоди [делать выводы]Action, послушай меня. [Я тебе еще не все рассказал.]Situation","Imp, VP, Ipfv, Inf",Clause,Verb pattern,,,Prohibition,Continuative prohibitive,Causation,Direct,,,,,"Action, Situation",Exclamatory,Colloquial,"погоди, погодите","веселиться, смеяться, радоваться, убиваться, кипятиться, отчаиваться, психовать, паниковать, обижаться, делать выводы, выдвигать версии, философствовать, умирать, благодарить","Частотными заполнителями слота являются глаголы, обозначающие эмоциональные состояния, реакции; глаголы умственной работы; глаголы, обозначающие благодарность.",,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,Continuative prohibitive,,,,,,,,,,,,,,,,,,
,,,1278,VP NP-Ins,VP NP-Ins,Он получил хорошее образование стараниями родителей.,,,,,,,,,,,Clause,Adv,NA,,Cause,,Non-standard subject,Non-standard subject marking,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,Non-standard subject marking,,,,,,,,,,,,,,,,,,,,,,,
,,,1279,"так как Cl, Cl","так как Cl, Cl","Так как прошли ливни, началось наводнение.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Cause,,,,,,,,,Assertive,Formal,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1280,"Cl, благодаря чему Cl","Cl, благодаря чему Cl","Грудное молоко имеет особую структуру, благодаря чему оно хорошо усваивается.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Cause,,,,,,,,,Assertive,Formal,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1281,"Cl оттого, что Cl","Cl оттого, что Cl","Боли могут быть оттого, что носишь тяжести.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Cause,,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1282,"Cl, потому как Cl","Cl, потому как Cl","Рабочие отправились домой, потому как потребноси в их действиях больше не было.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Cause,,,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1283,"Cl, потому что Cl","Cl, потому что Cl","Все думают, что я интеллектуал, потому что я ношу очки.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Cause,,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1284,"Cl, поскольку Cl","Cl, поскольку Cl","Поскольку английский я знаю недостаточно хорошо, приходится писать по-русски.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Cause,,,,,,,,,Assertive,Formal,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1285,VP по случаю NP-Gen,VP по случаю NP-Gen,По случаю юбилея жены он сам помоет тарелки.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1286,волей/по воле NP-Gen Cl ,волей/по воле NP-Gen Cl ,Волею обстоятельств он оказался в стане противников.,,,,,,,,,,,Cl + Modifier Construction,Adverbial Modifier,Nominal Pattern; PP,Prep; Noun,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1287,VP под давлением NP-Gen,VP под давлением NP-Gen,Правительство под давлением прогрессивной общественности учредило нечто вроде государственной опеки.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Cause,,Causation,Indirect,,,,,,,NA,,,,,,,,,,,,,,Indirect,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1288,VP с NP-Gen,VP с NP-Gen,Девочка с досады топнула ногой.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,Prep,Prep,Cause,,Attitude,Emotional attitude,,,,,,,Colloquial,,,,,,,,,,,Emotional attitude,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A family of constructions asking for permission to carry out an action.,,1289,VP с NP-Gen.Sg NP-Gen,VP с NP-Gen.Sing NP-Gen,Я поехал туда один с согласия родителей.,B1,"Конструкция обозначает [действие]Action, осуществление которого зависит от [разрешения или согласия]Cause [другого участника]Participant.",,,"Бывшая домработница, ставшая няней, с разрешения [Саши]Participant, [выбросила все банки с детским питанием]Action и готовила Леночке сама.","И тут же, с позволения [собеседника]Participant, он [записал это в свой блокнот]Action.","Этот текст [написан на основе реальной психотерапевтической сессии]Action, с согласия [клиентки]Participant.","Даже священник [совершает богослужения и таинства] только с благословения [архиерея]Participant, на полученном от него антиминсе и используя освященное им святое миро.","Акционерная «закрытость» означает, что учредитель [может передать (продать) свои акции кому-то]Action только с согласия [других акционеров]Participant.","VP, NP, Gen",Head + Modifier Construction,Adverbial Modifier,Prep,Prep,Cause,,Permission,,,,,,"Action, Cause, Participant",,NA,с,"разрешение, позволение, согласие, благословение, дозволение",Конструкция также может иметь вид VP с Adj-Gen/PronPoss-Gen NP-Gen.Sg в случаях типа Он поехал туда один с маминого/родительского/моего разрешения.,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Permission,,,,,,,,,,,,
,,,1290,VP благодаря NP-Dat,VP благодаря NP-Dat,Благодаря труду человек выделился из природы.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,Prep,Prep,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1291,VP за NP-Acc,VP за NP-Acc,Я люблю Петра за скромность.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,Prep,Prep,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1292,VP в награду за NP-Acc,VP в награду за NP-Acc,В награду за смелость Феде дали медаль.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1293,VP в наказание за NP-Acc,VP в наказание за NP-Acc,Петю оставили дома в наказание за плохое поведение.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1294,VP за NP-Ins,VP за NP-Ins,Пациенты выбрасывают свои очки за ненадобностью.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,Prep,Prep,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1295,VP с помощью/при помощи NP-Gen,VP с помощью/при помощи NP-Gen,Он всё починил с помощью отвёртки.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Cause,,Instrument,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1296,VP по NP-Dat,VP по NP-Dat,По состоянию здоровья он был отпущен домой.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,Prep,Prep,Cause,,,,,,,,,,Formal,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1297,VP по NP-Dat,VP по NP-Dat,"По внешнему виду мебели можно подумать, что она переходит из поколения в поколение.",,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,Prep,Prep,Cause,,Salient property,Unspecified,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,
,,,1298,VP на NP-Acc,VP на NP-Acc,Все обернулись на её смех.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,Prep,Prep,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1299,VP (не) по делу,VP (не) по делу,Он всё говорил по делу.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP; Negation,Prep; Noun; Negation Marker,Temporary characteristics,Appropriateness,Assessment,"Positive, Negative",Manner,,,,,,Colloquial,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,Appropriateness,,,
,,,1300,отныне VP,отныне VP,Отныне специалистов по японскому языку будут готовить только в этом университете.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,Adv,Adv,Time,Time period,Phase of action,Inchoative,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inchoative,,,,,,,,,,,,,,,,,Time period,,,,
,,,1301,"Cl с той целью, чтобы Cl","Cl с той целью, чтобы Cl","Но упомянул это определение с той целью, чтобы вывести либералов на признание.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Purpose,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1302,"Cl ради того, чтобы Cl","Cl ради того, чтобы Cl","По сюжету им предстоит объединить усилия ради того, чтобы совершить ограбление.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Purpose,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1303,"Cl, дабы Cl","Cl, дабы Cl","В Сибирь приехали учёные люди из Оксфорда, дабы просветить омичей на предмет избавления от мусора.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Purpose,,,,,,,,,,Obsolete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1304,"Cl, лишь бы Cl","Cl, лишь бы Cl","Может, даже на дачу куплю старенький телевизор, лишь бы ни одного матча не пропустить.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Purpose,,Concession,At least,Volition,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,At least,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,Unspecified
,,,1305,"Cl, только бы Cl","Cl, только бы Cl","А ему ничего не надо, только бы его оставили в покое, только бы не трогали.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Purpose,,Concession,At least,Volition,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,At least,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,Unspecified
,,,1306,Да VP-Prs/VP-Fut NP-Nom!,Да VP-Prs/VP-Fut NP-Nom!,Да будет свет!,,,,,,,,,,,Clause,,Conj,,Volition,,Routine,Kind wishes,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kind wishes,,,,,,,,,,,Unspecified
,,,1307,"Cl так, чтобы Cl","Cl так, чтобы Cl","Уроки мы обычно делаем под музыку так, чтобы гремело на весь дом.",,,,,,,,,,,Connection Construction,Conjunction,Conj,,Purpose,,Manner,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1308,"VP в надежде (на то), что VP","VP в надежде (на то), что VP","Каждый оператор сидел в надежде, что запечатлит эти кадры именно он.",,,,,,,,,,,Matrix + Subordinate Clause Construction,Matrix Predicate,Conj; Matrix,,Purpose,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1309,"VP в расчёте на то, что VP","VP в расчёте на то, что VP","Подобные автомобили приобретаются исключительно для коллекции, в расчёте на то, что стоимость объекта со временем только возрастёт.",,,,,,,,,,,Matrix + Subordinate Clause Construction,Matrix Predicate,Conj; Matrix,,Purpose,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1310,VP во благо (NP-Gen / NP-Dat),VP во благо (NP-Gen / NP-Dat),"Единственное, что я могу сказать вам до суда, – всё было сделано во благо ребёнка.",,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Purpose,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1311,VP с целью VP-Inf,VP с целью VP-Inf,"Необходимо произвести дополнительную семантическую проверку с целью установить, могло ли одно значение развиться из другого.",,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Purpose,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1312,VP в целях NP-Gen,VP в целях NP-Gen,Лучше сделать инъекцию в целях профилактики.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Purpose,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1313,NP/VP на NP-Acc,NP/VP на NP-Acc,Во двор привезли доски на постройку сарая.,,,,,,,,,,,Head + Modifier Construction,,,,Purpose,,Salient property,Functionality,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,Functionality,,,,,,,,,,
,,,1314,VP в NP-Acc,VP в NP-Acc,Брат отнёс мои часы в ремонт.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,Prep,Prep,Purpose,,Spatial expression,Path:Goal,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Path: Goal,,,,,,,
,,,1315,VP во избежание NP-Gen,VP во избежание NP-Gen,Во избежание конфликта стороны пришли к мирному урегулированию вопроса.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Purpose,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1316,VP в подтверждение/доказательство NP-Gen,VP в подтверждение/доказательство NP-Gen,В доказательство невиновности клиента адвокат привел убедительные доводы.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Purpose,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1317,VP в интересах NP-Gen,VP в интересах NP-Gen,Укреплять сотрудничество в интересах стабильности и безопасности на планете.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Purpose,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1318,VP в надежде VP-Inf/на NP-Acc,VP в надежде VP-Inf/на NP-Acc,Человек живёт в надежде когда-нибудь продлить жизнь другому человеку.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Purpose,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1319,VP в расчёте на NP-Acc,VP в расчёте на NP-Acc,"Он позвонил в расчёте на то, что поговорит с вами.",,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Purpose,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,1320,NP-Nom так и VP-Pfv,так и VP-Perf,Я так и ахнул.,,,,,,,,,,,Clause,,,,Actionality,Punctual,,,,,,,,,Colloquial,,,,,Punctual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1321,XP это Cop не PronPoss-Nom,XP это Cop не PronPoss-Nom,Математика это не моё.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,Negation; Adj,,Attitude,Preferences: Negative,Salient property,Personal interests,Assessment,Negative,,,,,Colloquial,,,,,,,,,,Negative,Preferences: Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal interests,,,,,,,,,,
,,,1322,А ещё NP-Nom!,А ещё NP-Nom!,Такие глупости говорит. А еще кандидат наук!,,,,,,,,,,,Clause,,Conj; Adv,,Assessment,Negative,Salient property,Matching the standard,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matching the standard,,,,,,,,,,
,,,1323,NP-Nom Cop горазд VP-Inf /на NP-Acc,NP-Nom Cop горазд VP-Inf /на NP-Acc,Он на выдумки горазд.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,Praedic,,Assessment,Positive,Salient property,Capacity for an activity,,,,,,,Obsolete,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacity for an activity,,,,,,,,,,
,,,1324,VP без прикрас,VP без прикрас,Художник показал сельскую жизнь без прикрас.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Manner,,Salient property,Essence,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,Essence,,,,,,,,,,
,,,1325,NP в форме NP-Gen,NP в форме NP-Gen,Игрушка в форме шара,,,,,,,,,,,Head + Modifier Construction,,Nominal pattern,,Salient property,Visual property,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual property,,,,,,,,,,
,,,1326,NP в виде NP-Gen,NP в виде NP-Gen,Вышивка в виде цветов способна украсить любой костюм.,,,,,,,,,,,Head + Modifier Construction,,Nominal pattern,,Salient property,Visual property,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual property,,,,,,,,,,
,,,1327,NP в образе NP-Gen,NP в образе NP-Gen,"Три гостя, уже в образе ангелов, сидят за столом.",,,,,,,,,,,Head + Modifier Construction,,Nominal pattern,,Salient property,Visual property,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual property,,,,,,,,,,
,,,1328,NP с запахом/вкусом NP-Gen,NP с запахом/вкусом NP-Gen,Мороженое со вкусом клубники,,,,,,,,,,,Head + Modifier Construction,,Nominal pattern,,Salient property,Unspecified,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,
,,,1329,NP из круга NP-Gen,NP из круга NP-Gen,Знакомые из круга писателей,,,,,,,,,,,Head + Modifier Construction,Nominal pattern,Nominal pattern,,Salient property,Belonging to a class,Salient property,Unspecified,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,Unspecified,,,,,,
,,,1330,NP из числа NP-Gen,NP из числа NP-Gen,На конкурс приехали ученики из числа лучших в своей школе.,,,,,,,,,,,Head + Modifier Construction,Nominal pattern,Nominal pattern,,Salient property,Belonging to a class,Salient property,Unspecified,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,Unspecified,,,,,,
,,,1331,NP из разряда NP-Gen,NP из разряда NP-Gen,"Фильм из разряда тех, на которые дети должны водить своих родителей.",,,,,,,,,,,Head + Modifier Construction,Nominal pattern,Nominal pattern,,Salient property,Belonging to a class,Salient property,Unspecified,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,Unspecified,,,,,,
,,,1332,NP-Nom иметь свойство VP-Inf ,NP-Nom иметь свойство VP-Inf ,Память имеет свойство стирать неприятные воспоминания.,,,,,,,,,,,Predicate Argument Construction,Verb,Light verb,,Salient property,Property assignment,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Property assignment,,,,,,,,,,
,,,1333,NP-Nom иметь вид NP-Gen,NP-Nom иметь вид NP-Gen,"Лучи изгибались, имея вид гиперболы.",,,,,,,,,,,Predicate Argument Construction,Verb,Light verb,,Salient property,Visual property,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual property,,,,,,,,,,
